TF-IDF Weight,Word2Vec Weight,BiLSTM Weight,Transformer Weight,Accuracy,Macro Precision,Macro Recall,Macro F1
0.8,0.05,0.1,0.05,0.7188025563403969,0.6915430505015001,0.6881287919074842,0.6896040308817303
0.75,0.1,0.1,0.05,0.7184661957618567,0.6902884064338843,0.6871818222105145,0.6884881019658292
0.8,0.1,0.05,0.05,0.7184661957618567,0.6888028698891365,0.6883117031548175,0.6882740082191003
0.7,0.1,0.15,0.05,0.7181298351833165,0.691002933574919,0.6855226102057526,0.6879943739710517
0.75,0.05,0.1,0.1,0.7167843928691557,0.6915817510284064,0.6843778478113244,0.6875374859428371
0.6,0.1,0.2,0.1,0.7167843928691557,0.6941116791525588,0.682275698367657,0.6874768055051353
0.6,0.05,0.2,0.15,0.7157753111335351,0.6964282414993068,0.6805858781357345,0.6874041704743015
0.4,0.1,0.2,0.3,0.713757147662294,0.7020930801941341,0.6766303998943518,0.6868141123409175
0.75,0.15,0.05,0.05,0.7174571140262361,0.6866268378899825,0.6869416136836889,0.6864987272192344
0.85,0.05,0.05,0.05,0.7161116717120753,0.6864458645986435,0.6865821677313015,0.6862965082168768
0.75,0.05,0.15,0.05,0.7157753111335351,0.6887421288810291,0.6843552496467036,0.6862530517615315
0.7,0.05,0.1,0.15,0.7157753111335351,0.6919255111668902,0.6817503365597473,0.6861811758093843
0.7,0.05,0.15,0.1,0.7157753111335351,0.6907972206929154,0.6821336910645921,0.6859518843297268
0.6,0.05,0.15,0.2,0.713757147662294,0.696019458525597,0.6784940244091748,0.6858262185240015
0.55,0.1,0.2,0.15,0.715438950554995,0.694797599460454,0.6789690819603397,0.6857327735828916
0.45,0.05,0.2,0.3,0.7124117053481333,0.7003442613401489,0.6755760003740269,0.6855197438226421
0.7,0.15,0.1,0.05,0.7164480322906155,0.6864443970671292,0.6847147456768117,0.6853714653643321
0.5,0.05,0.2,0.25,0.7134207870837538,0.6978842114291424,0.6765959941275242,0.6853269338514316
0.65,0.15,0.15,0.05,0.7164480322906155,0.6882297672595901,0.6827359245464173,0.6851705849867231
0.55,0.1,0.15,0.2,0.713757147662294,0.695268555029599,0.6778414866706045,0.685139259459059
0.6,0.2,0.15,0.05,0.7161116717120753,0.6882908051477005,0.682543612986607,0.6851081567979613
0.55,0.05,0.2,0.2,0.7127480659266734,0.6954101699507799,0.6772182169869783,0.6849143278210164
0.45,0.05,0.25,0.25,0.7124117053481333,0.6989612391213589,0.6752219854815671,0.6848901177440117
0.3,0.25,0.2,0.25,0.7134207870837538,0.6972210136477521,0.6762286096700383,0.6848207973701751
0.4,0.1,0.25,0.25,0.712075344769593,0.698343111805858,0.675089378490979,0.6846046048255121
0.45,0.1,0.15,0.3,0.7127480659266734,0.6979376804375765,0.6756489027953928,0.6845723473775374
0.7,0.1,0.1,0.1,0.715438950554995,0.6879033479087153,0.6818777557607312,0.6845501536121156
0.5,0.1,0.2,0.2,0.7124117053481333,0.6948682182925282,0.6769740392076034,0.6845034877594784
0.65,0.05,0.15,0.15,0.7134207870837538,0.6920708910641551,0.6786136052605015,0.6844627330030434
0.35,0.2,0.2,0.25,0.7130844265052136,0.696867861260548,0.6758571844025618,0.6844412629444665
0.3,0.2,0.2,0.3,0.7134207870837538,0.6986256431424245,0.6749326912350513,0.6844186711803097
0.35,0.15,0.25,0.25,0.713757147662294,0.6981618314406436,0.6750270949191449,0.6844094163887339
0.65,0.05,0.2,0.1,0.7134207870837538,0.6903543876324456,0.6796110008493781,0.6843542834135078
0.5,0.05,0.15,0.3,0.712075344769593,0.6980972249478568,0.6750639580534226,0.684270055107892
0.55,0.2,0.2,0.05,0.7151025899764547,0.6878840277052123,0.6809771210679574,0.6840585656203102
0.7,0.2,0.05,0.05,0.7151025899764547,0.6837635202582826,0.6848711395846953,0.6840482423998058
0.6,0.15,0.1,0.15,0.7140935082408342,0.6896645020435865,0.6797434361270838,0.6839901455100814
0.6,0.15,0.15,0.1,0.7140935082408342,0.6895880102799543,0.679466414543701,0.6839201697414893
0.7,0.15,0.05,0.1,0.7140935082408342,0.6857669444396935,0.682549989528886,0.6838239149181438
0.45,0.1,0.2,0.25,0.7114026236125126,0.6964516263148157,0.6749220723855194,0.6837658349980738
0.55,0.15,0.2,0.1,0.7144298688193743,0.6899950691723435,0.6788443633971296,0.6837119207196268
0.7,0.05,0.05,0.2,0.712075344769593,0.6901297598737333,0.6790760670161088,0.6836335494060823
0.8,0.05,0.05,0.1,0.712075344769593,0.6862652638760393,0.6815073976107676,0.6835318949708984
0.6,0.05,0.1,0.25,0.712075344769593,0.6937429911382067,0.6765520664130581,0.6835260031862971
0.6,0.1,0.15,0.15,0.7130844265052136,0.6902867501160981,0.6783270116517593,0.6834806905259385
0.6,0.1,0.1,0.2,0.7117389841910529,0.6927279156806474,0.6767988947524863,0.6834661519731904
0.5,0.15,0.2,0.15,0.7130844265052136,0.6920613530104643,0.6770046474347639,0.6834335529699517
0.65,0.2,0.1,0.05,0.7134207870837538,0.684337870679134,0.6828815278918867,0.6833678768082574
0.65,0.1,0.15,0.1,0.7140935082408342,0.6882376503278144,0.6793855020597953,0.6832693205098921
0.6,0.15,0.2,0.05,0.7144298688193743,0.6866941835960914,0.6804942967245764,0.6832565358020399
0.55,0.25,0.15,0.05,0.715438950554995,0.685803590669382,0.6811867213676224,0.6832002206007527
0.45,0.15,0.2,0.2,0.7124117053481333,0.6939450786736746,0.6754859308479679,0.6831972454502265
0.25,0.25,0.2,0.3,0.7124117053481333,0.6974870268215564,0.6736223063331448,0.683191128094274
0.5,0.1,0.15,0.25,0.712075344769593,0.6945366466313387,0.6753239842449946,0.6831766040652123
0.4,0.15,0.15,0.3,0.7110662630339725,0.6968189468456634,0.6741539230481718,0.6831606703843944
0.65,0.1,0.1,0.15,0.7127480659266734,0.6881950776996415,0.6792433731215684,0.6831151303337437
0.3,0.2,0.25,0.25,0.7117389841910529,0.6971234655409602,0.6734765014904129,0.6830127637177228
0.65,0.1,0.05,0.2,0.7110662630339725,0.6893999947591245,0.6783373073688669,0.6829623768383536
0.5,0.25,0.2,0.05,0.7140935082408342,0.6863112529003019,0.6802383614207155,0.6829570756706052
0.5,0.05,0.25,0.2,0.7110662630339725,0.6946934434372176,0.6745297325514037,0.6829491855122269
0.35,0.3,0.15,0.2,0.7127480659266734,0.6927297368015886,0.6759170606846665,0.6829482271810798
