Experiment ID,Model,Family,Accuracy,Macro Precision,Macro Recall,Macro F1,Representation,Validation Macro F1
M2.1,BoW + Naive Bayes,Generative,0.7199058507061197,0.7132935171402486,0.6721680546266903,0.6862821455038273,BoW,0.6731992312822236
M2.2,TF-IDF + Naive Bayes,Generative,0.715198386012105,0.7823480970993596,0.6307640956199678,0.6496017765590424,TF-IDF,0.6259499151507475
M2.3,BoW + Logistic Regression,Discriminative,0.7192333557498318,0.6947003269757435,0.6904980507998544,0.6924664460384957,BoW,0.6783335555438201
M2.4,TF-IDF + Logistic Regression,Discriminative,0.7215870880968392,0.6884267170250193,0.6992513459454452,0.6930195554834029,TF-IDF,0.6778405670877593
M3.1,Mean Word2Vec + Logistic Regression,Dense Embedding,0.64862138533961,0.6131022631860554,0.6346220845091298,0.6201255773945573,Mean Word2Vec,0.6124919540473196
M3.2,TF-IDF Weighted Word2Vec + Logistic Regression,Dense Embedding,0.6439139206455952,0.6091570338387579,0.6313193597707701,0.6159866253920689,TF-IDF Weighted Word2Vec,0.6154760460982545
M4.1,Vanilla RNN,Sequence Neural,0.648285137861466,0.6269808203824224,0.608631794077698,0.6161891546136317,Trainable Embedding + RNN,0.6104211631252813
M4.2,Bidirectional LSTM,Sequence Neural,0.6825823806321453,0.679693491328324,0.6521368437977035,0.6625807394229144,Trainable Embedding + BiLSTM,0.6493431209907812
M5.1,Transformer Encoder,Self-Attention,0.6882985877605918,0.6955052185685354,0.6495862888606496,0.6656292323938778,Embedding + Positional Encoding,0.6372850627504751
M6.1,Validation-Weighted NLP Ensemble,Combined NLP System,0.7192333557498318,0.7109598158321226,0.6867889624710254,0.6969656496345998,TF-IDF + Word2Vec + BiLSTM + Transformer,0.6800900330977487
